property,title,value,format
"standardversion","Версия методических рекомендаций", "http://opendata.gosmonitor.ru/standard/3.0",
"7705846236-RadioFrequencyLicenseSmarineRadios","Информация о присвоений (назначений) радиочастот по лицензиям судовых радиостанций","http://rkn.gov.ru/opendata/7705846236-RadioFrequencyLicenseSmarineRadios/meta.csv","csv"
"7705846236-FGIS","Реестр федеральных государственных информационных систем","http://rkn.gov.ru/opendata/7705846236-FGIS/meta.csv","csv"
"7705846236-LicBroadcast","Сведения из реестра лицензий на деятельность по телерадиовещанию","http://rkn.gov.ru/opendata/7705846236-LicBroadcast/meta.csv","csv"
"7705846236-LicComm","Реестр лицензий в области связи","http://rkn.gov.ru/opendata/7705846236-LicComm/meta.csv","csv"
"7705846236-ExpertPD","Реестр граждан и организаций, привлекаемых в качестве экспертов и экспертных организаций для проверок в области персональных данных","http://rkn.gov.ru/opendata/7705846236-ExpertPD/meta.csv","csv"
"7705846236-ResolutionSMI","Свидетельства о регистрации средства массовой информации","http://rkn.gov.ru/opendata/7705846236-ResolutionSMI/meta.csv","csv"
"7705846236-ResolutionRadioCHF","Реестр присвоения радиочастот","http://rkn.gov.ru/opendata/7705846236-ResolutionRadioCHF/meta.csv","csv"
"7705846236-CopiesAudioVideo","Реестр лицензий на деятельность по изготовлению экземпляров аудиовизуальных произведений, программ для электронных вычислительный машин (программ для ЭВМ), баз данных и фонограмм на любых видах носителей","http://rkn.gov.ru/opendata/7705846236-CopiesAudioVideo/meta.csv","csv"
"7705846236-SignificantTelecomOperators","Реестр операторов, занимающих существенное положение в сети связи общего пользования","http://rkn.gov.ru/opendata/7705846236-SignificantTelecomOperators/meta.csv","csv"
"7705846236-OperatorsPD","Реестр операторов, осуществляющих обработку персональных данных","http://rkn.gov.ru/opendata/7705846236-OperatorsPD/meta.csv","csv"
"7705846236-ExpertsControlCommunications","Реестр граждан и организаций, привлекаемых Федеральной службой по надзору в сфере связи, информационных технологий и массовых коммуникаций в качестве экспертов к проведению мероприятий по контролю в сфере связи","http://rkn.gov.ru/opendata/7705846236-ExpertsControlCommunications/meta.csv","csv"
"7705846236-PermToDistributeForeignPeriodicals","Реестр разрешений на распространение зарубежных периодических изданий","http://rkn.gov.ru/opendata/7705846236-PermToDistributeForeignPeriodicals/meta.csv","csv"
"7705846236-communicationInfrastructureRF","Реестр инфраструктуры связи Российской Федерации","http://rkn.gov.ru/opendata/7705846236-communicationInfrastructureRF/meta.csv","csv"
"7705846236-BorderTelecommunications","Реестр выданных и аннулированных разрешений на строительство, реконструкцию, проведение изыскательских работ для проектирования и ликвидацию сухопутных линий связи при пересечении государственной границы Российской Федерации и на приграничной территории","http://rkn.gov.ru/opendata/7705846236-BorderTelecommunications/meta.csv","csv"
"7705846236-InfoTelecomLicRegistration","Информация об оформлении лицензий в сфере связи","http://rkn.gov.ru/opendata/7705846236-InfoTelecomLicRegistration/meta.csv","csv"
"7705846236-1Control","Форма 1-контроль","http://rkn.gov.ru/opendata/7705846236-1Control/meta.csv","csv"
"7705846236-InspectionPlan","План проведения плановых проверок","http://rkn.gov.ru/opendata/7705846236-InspectionPlan/meta.csv","csv"
"7705846236-AuditsResults","Результаты проверок","http://rkn.gov.ru/opendata/7705846236-AuditsResults/meta.csv","csv"
"7705846236-SubordinateEnterprises","Подведомственные предприятия","http://rkn.gov.ru/opendata/7705846236-SubordinateEnterprises/meta.csv","csv"
"7705846236-Vacancy","Государственная служба","http://rkn.gov.ru/opendata/7705846236-Vacancy/meta.csv","csv"
"7705846236-TerritorialBodies","Территориальные органы Роскомнадзора","http://rkn.gov.ru/opendata/7705846236-TerritorialBodies/meta.csv","csv"
"7705846236-PayersPublicationMedia","Реестр плательщиков страховых взносов в государственные внебюджетные фонды по производству, выпуску в свет (в эфир) и (или) изданию средств массовой информации","http://rkn.gov.ru/opendata/7705846236-PayersPublicationMedia/meta.csv","csv"
"7705846236-AccreditedExpertsMassCommunications","Реестр аккредитованных экспертов и экспертных организаций, привлекаемых к проведению мероприятий по контролю в сфере массовых коммуникаций","http://rkn.gov.ru/opendata/7705846236-AccreditedExpertsMassCommunications/meta.csv","csv"
"7705846236-ImportREFAndHFDevices","Реестр РЭС и ВЧУ разрешенных для ввоза на территорию Российской Федерации","http://rkn.gov.ru/opendata/7705846236-ImportREFAndHFDevices/meta.csv","csv"
"7705846236-Bloger","Реестр сайтов и (или) страниц сайтов в сети «Интернет», на которых размещается общедоступная информация и доступ к которым в течение суток составляет более трех тысяч пользователей сети «Интернет»","http://rkn.gov.ru/opendata/7705846236-Bloger/meta.csv","csv"
"7705846236-InformationDistributor","Реестр организаторов распространения информации в сети «Интернет»","http://rkn.gov.ru/opendata/7705846236-InformationDistributor/meta.csv","csv"
"7705846236-GU","Перечень государственных услуг Роскомнадзора","http://rkn.gov.ru/opendata/7705846236-GU/meta.csv","csv"
"7705846236-Treatments","Информация об обращениях граждан","http://rkn.gov.ru/opendata/7705846236-Treatments/meta.csv","csv"
"7705846236-CommunityCouncils","Информация об экспертно-консультативных органах","http://rkn.gov.ru/opendata/7705846236-CommunityCouncils/meta.csv","csv"
"7705846236-ContactGovernmentAgencies","Контактные данные государственных органов, их территориальных и структурных подразделений, должностных лиц","http://rkn.gov.ru/opendata/7705846236-ContactGovernmentAgencies/meta.csv","csv"
